Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2013","2013","1000 t","2499","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2013","2013","1000 t","139","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2013","2013","1000 t","2687","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2013","2013","1000 t","10301","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2013","2013","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2013","2013","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2013","2013","1000 t","571","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2013","2013","1000 t","307","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2013","2013","1000 t","64","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2013","2013","1000 t","-102","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2013","2013","1000 t","9460","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2013","2013","kg/cap","1.31","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2013","2013","kcal/cap/d","10","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2013","2013","million Kcal","26760032.45","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2013","2013","g/cap/d","0.38","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2013","2013","t","994228.93","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2013","2013","g/cap/d","0.31","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2013","2013","t","818913.89","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2014","2014","1000 t","10748","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2014","2014","1000 t","2548","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2014","2014","1000 t","530","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2014","2014","1000 t","2718","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2014","2014","1000 t","10049","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2014","2014","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2014","2014","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2014","2014","1000 t","572","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2014","2014","1000 t","344","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2014","2014","1000 t","49","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2014","2014","1000 t","-73","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2014","2014","1000 t","9157","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2014","2014","kg/cap","1.25","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2014","2014","kcal/cap/d","10","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2014","2014","million Kcal","26367272.52","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2014","2014","g/cap/d","0.37","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2014","2014","t","988012.82","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2014","2014","g/cap/d","0.3","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2014","2014","t","807168.3","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2015","2015","1000 t","11402","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2015","2015","1000 t","2827","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2015","2015","1000 t","1127","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2015","2015","1000 t","2926","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2015","2015","1000 t","10177","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2015","2015","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2015","2015","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2015","2015","1000 t","627","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2015","2015","1000 t","352","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2015","2015","1000 t","49","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2015","2015","1000 t","-99","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2015","2015","1000 t","9248","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2015","2015","kg/cap","1.25","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2015","2015","kcal/cap/d","10","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2015","2015","million Kcal","26420275.82","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2015","2015","g/cap/d","0.37","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2015","2015","t","989112.49","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2015","2015","g/cap/d","0.3","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2015","2015","t","810506.24","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2016","2016","1000 t","12789","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2016","2016","1000 t","2990","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2016","2016","1000 t","1666","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2016","2016","1000 t","3166","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2016","2016","1000 t","10947","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2016","2016","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2016","2016","1000 t","714","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2016","2016","1000 t","407","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2016","2016","1000 t","54","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2016","2016","1000 t","-95","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2016","2016","1000 t","9867","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2016","2016","kg/cap","1.32","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2016","2016","kcal/cap/d","10","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2016","2016","million Kcal","28040428.78","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2016","2016","g/cap/d","0.38","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2016","2016","t","1045098.95","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2016","2016","g/cap/d","0.31","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2016","2016","t","853302.66","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2017","2017","1000 t","14355","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2017","2017","1000 t","3080","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2017","2017","1000 t","2141","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2017","2017","1000 t","3459","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2017","2017","1000 t","11835","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2017","2017","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2017","2017","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2017","2017","1000 t","757","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2017","2017","1000 t","410","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2017","2017","1000 t","61","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2017","2017","1000 t","-105","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2017","2017","1000 t","10713","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2017","2017","kg/cap","1.42","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2017","2017","kcal/cap/d","11","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2017","2017","million Kcal","30935458.62","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2017","2017","g/cap/d","0.42","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2017","2017","t","1165246.67","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2017","2017","g/cap/d","0.35","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2017","2017","t","968397.36","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2018","2018","1000 t","14940","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2018","2018","1000 t","3196","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2018","2018","1000 t","2272","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2018","2018","1000 t","3389","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2018","2018","1000 t","12475","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2018","2018","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2018","2018","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2018","2018","1000 t","793","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2018","2018","1000 t","429","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2018","2018","1000 t","40","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2018","2018","1000 t","-143","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2018","2018","1000 t","11356","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2018","2018","kg/cap","1.49","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2018","2018","kcal/cap/d","12","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2018","2018","million Kcal","32133902.92","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2018","2018","g/cap/d","0.43","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2018","2018","t","1198279.5","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2018","2018","g/cap/d","0.35","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2018","2018","t","987359.4","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2019","2019","1000 t","14431","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2019","2019","1000 t","3680","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2019","2019","1000 t","1011","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2019","2019","1000 t","3885","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2019","2019","1000 t","13215","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2019","2019","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2019","2019","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2019","2019","1000 t","782","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2019","2019","1000 t","297","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2019","2019","1000 t","44","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2019","2019","1000 t","-143","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2019","2019","1000 t","12236","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2019","2019","kg/cap","1.58","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2019","2019","kcal/cap/d","12","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2019","2019","million Kcal","34461058.32","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2019","2019","g/cap/d","0.45","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","671","Protein supply quantity (t)","S2923","Spices","2019","2019","t","1280949.25","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","684","Fat supply quantity (g/capita/day)","S2923","Spices","2019","2019","g/cap/d","0.38","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","681","Fat supply quantity (t)","S2923","Spices","2019","2019","t","1072432.24","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5511","Production","S2923","Spices","2020","2020","1000 t","15721","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5611","Import quantity","S2923","Spices","2020","2020","1000 t","4195","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5072","Stock Variation","S2923","Spices","2020","2020","1000 t","1712","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5911","Export quantity","S2923","Spices","2020","2020","1000 t","4443","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5301","Domestic supply quantity","S2923","Spices","2020","2020","1000 t","13760","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5521","Feed","S2923","Spices","2020","2020","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5527","Seed","S2923","Spices","2020","2020","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5123","Losses","S2923","Spices","2020","2020","1000 t","830","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5154","Other uses (non-food)","S2923","Spices","2020","2020","1000 t","283","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5171","Tourist consumption","S2923","Spices","2020","2020","1000 t","0","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5170","Residuals","S2923","Spices","2020","2020","1000 t","-239","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","5142","Food","S2923","Spices","2020","2020","1000 t","12886","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","645","Food supply quantity (kg/capita/yr)","S2923","Spices","2020","2020","kg/cap","1.65","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","664","Food supply (kcal/capita/day)","S2923","Spices","2020","2020","kcal/cap/d","13","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","661","Food supply (kcal)","S2923","Spices","2020","2020","million Kcal","36281305.48","E","Estimated value",""
"FBS","Food Balances (2010-)","001","World","674","Protein supply quantity (g/capita/day)","S2923","Spices","2020","2020","g/cap/d","0.47","E","Estimated value",""
